neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,distance_to_sol_km,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,host_experience_months,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,amenities_count,has_license_info,has_wifi,has_air_conditioning,has_kitchen,has_washer,has_workspace,has_parking,has_pool,has_elevator,has_balcony_or_patio,price_numeric
Opañel,Carabanchel,40.38799,-3.7247,3.681264635457904,Private room in home,Private room,1,1.0,,1.0,1.0,365.0,f,1.0,f,t,31.0,1,0,1,0,3,0,1,0,1,0,0,0,0,0,0,42.0
Palomeras Sureste,Puente de Vallecas,40.38548249999999,-3.6408404,6.362906483153297,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,365.0,f,1.0,t,t,37.0,1,1,0,0,6,0,1,0,0,1,0,0,0,0,0,209.98
Universidad,Centro,40.42488,-3.70733,0.9373677196154837,Room in hotel,Private room,2,,,,1.0,731.0,,,,,0.0,2,0,2,0,27,0,1,1,0,0,0,0,0,1,0,259.09
Fuente del Berro,Salamanca,40.42882,-3.66664,3.3969045389986343,Room in hotel,Private room,2,,,,1.0,731.0,,,,,0.0,1,0,1,0,24,0,1,1,0,0,1,0,0,1,0,179.38
Trafalgar,Chamberí,40.428710035968166,-3.698324351552891,1.3831378908003644,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1.0,365.0,f,1.0,f,t,28.0,1,1,0,0,4,0,0,1,1,1,0,0,0,0,0,95.0
Arapiles,Chamberí,40.43086,-3.70771,1.5862659918022026,Room in hotel,Private room,2,,,,1.0,731.0,,,,,0.0,3,0,3,0,25,0,1,1,0,0,0,1,0,1,0,131.73
Palacio,Centro,40.4125428824599,-3.713437934419789,0.9650642431071502,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,1.0,365.0,f,2.0,t,t,82.0,2,1,1,0,16,0,1,0,1,1,1,0,0,0,0,503.0
Palacio,Centro,40.41175673391693,-3.715674470576698,1.1727847519891166,Entire rental unit,Entire home/apt,2,,1.0,,2.0,90.0,f,1.0,t,t,7.0,1,1,0,0,14,1,1,1,1,1,1,1,0,0,0,188.0
Cuatro Caminos,Tetuán,40.4466543861658,-3.697958440465263,3.3385350763463446,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,31.0,125.0,f,1042.0,t,t,73.0,449,449,0,0,25,1,1,1,1,1,1,0,0,0,0,149.68
Numancia,Puente de Vallecas,40.3976962,-3.6598983,4.275127150621882,Entire rental unit,Entire home/apt,3,1.0,1.0,,1.0,365.0,f,4.0,t,t,130.0,2,2,0,0,11,1,1,1,1,1,1,1,0,0,0,88.0
Berruguete,Tetuán,40.45581,-3.7035,4.322156824938612,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,365.0,f,4.0,t,t,109.0,3,3,0,0,15,1,1,1,1,1,0,0,0,1,0,166.0
Opañel,Carabanchel,40.3866623,-3.7225907,3.7306873331191444,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,3.0,365.0,f,50.0,t,t,79.0,40,40,0,0,19,1,1,1,1,1,0,0,0,0,0,222.67
Fontarrón,Moratalaz,40.4069,-3.65918,3.923799907112424,Room in hotel,Private room,2,1.0,2.0,3.0,1.0,365.0,f,8.0,t,t,12.0,8,0,8,0,9,1,1,1,1,1,0,1,0,0,0,112.0
Puerta Bonita,Carabanchel,40.38535,-3.73332,4.320627624504016,Private room in rental unit,Private room,3,1.0,3.0,1.0,1.0,365.0,f,1.0,f,t,16.0,1,0,1,0,4,0,1,0,1,1,0,0,0,0,0,415.0
San Diego,Puente de Vallecas,40.3867024,-3.6701033,4.3994084970543765,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1.0,30.0,f,19.0,t,t,77.0,17,17,0,0,19,1,1,1,1,1,0,0,0,0,0,88.0
Lucero,Latina,40.40487,-3.75232,4.336948949003081,Private room in rental unit,Private room,1,1.0,3.0,3.0,1.0,365.0,f,1.0,t,t,0.0,1,0,1,0,5,1,1,0,1,1,1,0,0,0,0,46.0
Almendrales,Usera,40.38554,-3.70331,3.4916131088936733,Entire rental unit,Entire home/apt,2,1.0,,2.0,5.0,1125.0,f,21.0,t,t,123.0,21,21,0,0,30,1,1,1,1,1,0,1,0,1,1,76.2
Canillejas,San Blas - Canillejas,40.44156723267493,-3.609404187806164,8.430926411087867,Private room in rental unit,Private room,1,1.0,,2.0,1.0,365.0,f,2.0,t,t,15.0,2,0,2,0,34,0,1,1,1,1,1,1,0,1,0,58.0
Rosas,San Blas - Canillejas,40.42682,-3.61049,7.958950166313934,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2.0,365.0,f,2.0,t,t,36.0,2,2,0,0,21,1,0,1,1,1,0,0,0,0,0,84.0
San Fermín,Usera,40.37377648328768,-3.6902581888855046,4.930952686835166,Entire rental unit,Entire home/apt,6,1.0,3.0,4.0,1.0,365.0,t,13.0,t,t,59.0,13,13,0,0,46,1,1,0,1,1,1,1,0,0,0,145.0
Valverde,Fuencarral - El Pardo,40.4861701445048,-3.6891088485639214,7.795214778785065,Private room in rental unit,Private room,1,1.0,1.0,1.0,3.0,90.0,f,3.0,t,t,24.0,3,0,3,0,5,1,1,0,1,1,0,1,0,0,0,68.67
Canillejas,San Blas - Canillejas,40.44018491675016,-3.611753624926316,8.193395831258638,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,3.0,365.0,f,1.0,f,t,38.0,1,1,0,0,6,1,1,1,1,1,1,0,0,0,0,117.54
Almenara,Tetuán,40.47011,-3.69904,5.924869339040686,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,3.0,1125.0,f,50.0,t,t,79.0,40,40,0,0,13,0,1,1,1,1,0,0,0,1,0,127.67
Embajadores,Centro,40.41032,-3.70336,0.7364146393739494,Entire rental unit,Entire home/apt,4,,1.0,,1.0,1125.0,f,67.0,t,t,112.0,55,55,0,0,31,1,1,1,1,1,0,1,0,1,0,82.85
La Paz,Fuencarral - El Pardo,40.47846113167259,-3.699831789986186,6.848304502912826,Private room in rental unit,Private room,1,1.0,,1.0,15.0,365.0,f,28.0,t,t,121.0,25,0,25,0,6,0,1,0,1,1,1,0,0,0,0,57.07
Fontarrón,Moratalaz,40.4069004,-3.6591817,3.9236492609649227,Room in hotel,Private room,2,1.0,1.0,1.0,1.0,365.0,f,8.0,t,t,12.0,8,0,8,0,9,1,1,1,1,1,0,1,0,0,0,91.0
Numancia,Puente de Vallecas,40.40044,-3.66471,3.7701398888427757,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,365.0,t,5.0,t,t,3.0,5,5,0,0,43,1,1,0,1,1,1,1,0,0,0,124.5
Berruguete,Tetuán,40.4594002,-3.701334,4.725286426550881,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,30.0,365.0,f,476.0,t,t,53.0,375,375,0,0,14,1,0,0,1,1,0,0,0,0,0,100.52
San Diego,Puente de Vallecas,40.38595,-3.66928,4.508318797167003,Entire rental unit,Entire home/apt,8,1.0,3.0,1.0,2.0,1125.0,f,1.0,t,t,83.0,1,1,0,0,22,1,1,1,1,1,0,0,0,0,1,161.33
Embajadores,Centro,40.40903961001875,-3.706628362176329,0.9148962713541781,Private room in rental unit,Private room,1,2.0,1.0,1.0,30.0,365.0,f,50.0,f,t,25.0,50,0,50,0,17,1,1,0,1,1,1,0,0,0,0,26.93
Palacio,Centro,40.41495,-3.71031,0.608849857411432,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,2.0,365.0,f,143.0,t,t,75.0,16,16,0,0,7,0,1,1,1,1,0,0,0,1,0,154.9
Comillas,Carabanchel,40.39560641025322,-3.713084139076876,2.5041517580006127,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,32.0,364.0,f,1.0,t,t,77.0,1,1,0,0,51,1,1,0,1,1,1,1,0,1,1,85.73
Cortes,Centro,40.41544728597176,-3.701578562462328,0.23901237431476072,Private room in rental unit,Private room,1,3.0,1.0,1.0,20.0,365.0,f,31.0,t,t,52.0,31,8,23,0,5,0,1,0,1,1,1,0,0,0,0,66.2
Cortes,Centro,40.41511545,-3.70229161,0.2315559987042868,Entire serviced apartment,Entire home/apt,14,3.5,4.0,8.0,1.0,1125.0,t,60.0,t,t,71.0,58,58,0,0,54,1,1,1,1,1,1,1,0,0,1,475.0
Almagro,Chamberí,40.43164,-3.69328,1.8537570394078131,Private room in rental unit,Private room,1,,1.0,,15.0,365.0,f,174.0,t,t,25.0,164,0,164,0,14,0,1,0,1,1,1,0,0,0,0,41.33
Bellas Vistas,Tetuán,40.44973,-3.70684,3.6563160506379924,Private room in rental unit,Private room,1,,,1.0,1.0,365.0,f,1.0,f,t,29.0,1,0,1,0,4,0,1,0,1,1,0,0,0,0,0,120.0
Concepción,Ciudad Lineal,40.4393076,-3.649248,5.23057613495273,Private room in rental unit,Private room,1,2.0,,1.0,1.0,365.0,f,1.0,t,t,29.0,1,0,1,0,4,0,1,1,1,1,0,0,0,0,0,37.0
Argüelles,Moncloa - Aravaca,40.43061526582628,-3.71707137841114,1.9001938991410745,Private room in guest suite,Private room,1,1.0,,1.0,30.0,65.0,f,216.0,t,t,19.0,212,1,211,0,5,0,1,1,1,1,0,0,0,0,0,29.07
Embajadores,Centro,40.41195,-3.69858,0.6994401484754125,Room in boutique hotel,Private room,2,1.0,,2.0,1.0,999.0,f,7.0,t,t,91.0,7,0,1,0,12,0,1,1,0,0,0,0,0,1,0,98.0
Ibiza,Retiro,40.4175635,-3.676707,2.278595506031138,Entire rental unit,Entire home/apt,2,,,1.0,1.0,365.0,f,2.0,t,t,131.0,2,2,0,0,7,0,1,0,1,1,0,0,0,0,0,113.0
Arapiles,Chamberí,40.43831,-3.71011,2.439098872046591,Entire rental unit,Entire home/apt,4,1.0,4.0,4.0,7.0,1125.0,f,25.0,t,t,104.0,27,26,1,0,14,0,1,1,1,1,1,0,0,0,0,165.49
Abrantes,Carabanchel,40.37947,-3.72895,4.686585346809367,Private room in home,Private room,1,,,,1.0,1.0,f,1.0,t,t,85.0,1,0,1,0,10,0,1,0,1,1,0,0,0,1,0,115.0
Sol,Centro,40.41936,-3.70012,0.39962666881538556,Entire home,Entire home/apt,6,1.0,2.0,4.0,2.0,365.0,f,47.0,t,t,132.0,13,13,0,0,14,0,1,1,0,1,0,0,0,1,0,292.0
Comillas,Carabanchel,40.39639,-3.71448,2.4634455215814706,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,3.0,1125.0,f,25.0,t,t,104.0,27,26,1,0,29,0,1,1,1,1,1,1,1,1,0,323.33
Universidad,Centro,40.42046791276513,-3.701750546266076,0.4226904914996794,Room in hotel,Private room,2,1.0,1.0,1.0,1.0,30.0,f,3.0,t,t,15.0,3,0,3,0,4,0,1,1,0,0,0,0,0,0,0,95.0
Guindalera,Salamanca,40.43144,-3.66964,3.296695715526739,Private room in home,Private room,1,1.0,1.0,1.0,4.0,365.0,f,2.0,t,t,42.0,2,0,2,0,6,1,1,1,1,1,1,0,0,0,0,54.25
Rios Rosas,Chamberí,40.43896,-3.70318,2.448782788462848,Private room in home,Private room,1,1.0,,1.0,30.0,1125.0,f,14.0,t,t,165.0,11,0,11,0,11,0,1,0,1,1,0,0,0,1,0,36.76
Justicia,Centro,40.42243,-3.6936042,1.0440930991967619,Entire rental unit,Entire home/apt,5,3.0,3.0,3.0,3.0,365.0,f,476.0,t,t,53.0,375,375,0,0,14,0,1,1,1,1,0,0,0,1,0,450.0
Palacio,Centro,40.42208729774665,-3.708952006025571,0.7294494031144538,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,1125.0,t,2.0,t,t,17.0,2,2,0,0,19,0,1,1,1,1,0,1,0,0,0,79.88
Embajadores,Centro,40.40702973014714,-3.699032416294711,1.1681362045548267,Private room in rental unit,Private room,1,1.0,1.0,1.0,2.0,365.0,f,2.0,f,t,0.0,2,0,2,0,7,1,1,1,1,1,1,0,0,0,0,56.0
Gaztambide,Chamberí,40.43639470000001,-3.7161926,2.4112379614160537,Entire rental unit,Entire home/apt,8,2.0,6.0,6.0,31.0,365.0,f,181.0,t,t,28.0,4,4,0,0,14,0,1,1,1,1,1,0,0,0,0,260.27
Embajadores,Centro,40.41033700000001,-3.701777699999999,0.7504287513424893,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,365.0,f,476.0,t,t,53.0,375,375,0,0,14,1,0,1,0,1,0,0,0,1,0,77.52
Cortes,Centro,40.4134757,-3.7009466,0.4463536671370894,Room in hotel,Private room,2,1.0,1.0,2.0,1.0,365.0,f,6.0,t,t,10.0,6,0,6,0,7,1,1,1,0,0,0,0,0,0,0,594.0
Guindalera,Salamanca,40.432649282006,-3.665518765135617,3.667110091347537,Entire rental unit,Entire home/apt,6,,2.0,,3.0,1125.0,f,4.0,t,t,92.0,4,4,0,0,15,0,1,1,0,1,0,0,0,0,0,127.0
Hispanoamérica,Chamartín,40.4554623391922,-3.665045608182796,5.385253781341555,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2.0,180.0,t,3.0,t,t,131.0,2,2,0,0,47,1,1,1,1,1,1,1,0,0,0,123.33
Campamento,Latina,40.39925,-3.77051,5.996180225917905,Private room in home,Private room,1,,2.0,1.0,1.0,365.0,f,2.0,t,t,78.0,2,0,2,0,11,0,1,0,0,0,1,0,0,0,0,34.0
Embajadores,Centro,40.41037,-3.70907,0.8645135115269266,Entire rental unit,Entire home/apt,2,1.0,,2.0,9.0,600.0,t,2.0,t,t,131.0,2,2,0,0,15,0,1,1,1,1,0,0,0,0,0,80.11
Los Rosales,Villaverde,40.34831,-3.68922,7.7280300864254174,Private room in rental unit,Private room,1,1.0,,3.0,30.0,1125.0,f,1.0,t,t,86.0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,23.23
Almendrales,Usera,40.38673,-3.69793,3.3934559350481597,Private room in rental unit,Private room,1,1.0,,1.0,1.0,365.0,f,2.0,t,t,27.0,2,0,2,0,3,0,1,0,0,0,1,0,0,0,0,35.0
Timón,Barajas,40.47078,-3.58482,11.700146052706826,Private room in home,Private room,1,1.0,,1.0,1.0,1125.0,f,1.0,t,t,84.0,1,0,1,0,4,0,1,0,1,0,0,0,0,1,0,571.0
Concepción,Ciudad Lineal,40.4375354661908,-3.652652164188809,4.883580434868084,Private room in rental unit,Private room,1,0.5,,1.0,1.0,365.0,f,2.0,t,t,31.0,2,0,2,0,3,0,1,0,1,1,0,0,0,0,0,34.69
Bellas Vistas,Tetuán,40.45245,-3.70367,3.948535110592088,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,2.0,365.0,f,1.0,t,t,71.0,1,1,0,0,8,1,1,1,1,1,0,0,0,0,0,91.5
Justicia,Centro,40.42659,-3.69484,1.3048172427776288,Private room in rental unit,Private room,1,2.0,,1.0,1.0,365.0,f,2.0,t,t,28.0,2,0,2,0,6,0,1,1,1,1,0,0,0,0,0,111.0
Embajadores,Centro,40.40877,-3.707,0.9527211549924386,Private room in casa particular,Private room,1,2.0,,1.0,2.0,365.0,f,2.0,t,t,16.0,2,0,2,0,10,0,1,1,1,1,1,1,0,0,0,41.08
Ibiza,Retiro,40.42077,-3.6697,2.902085589277599,Private room in rental unit,Private room,2,1.0,,1.0,7.0,10.0,f,2.0,t,t,44.0,1,0,1,0,4,0,1,0,0,1,1,0,0,0,0,157.43
Buenavista,Carabanchel,40.35987,-3.75634,7.759810563816644,Private room in home,Private room,1,1.0,,1.0,30.0,365.0,f,3.0,t,t,87.0,3,0,3,0,12,0,1,0,1,1,1,0,0,0,0,26.55
Abrantes,Carabanchel,40.37607929299653,-3.730695265245344,5.089634334010528,Private room in rental unit,Private room,1,0.5,,1.0,1.0,365.0,f,1.0,t,t,25.0,1,0,1,0,8,0,1,1,1,1,1,1,0,0,0,35.0
Arapiles,Chamberí,40.43169,-3.71096,1.7541672214061443,Private room in rental unit,Private room,1,2.0,,1.0,3.0,365.0,f,31.0,t,t,52.0,31,8,23,0,5,0,1,0,1,1,1,0,0,0,0,58.33
Cortes,Centro,40.4134757,-3.7009466,0.4463536671370894,Private room in hostel,Private room,3,1.0,1.0,3.0,1.0,365.0,f,6.0,t,t,0.0,5,0,5,0,16,1,1,1,0,0,1,0,0,0,0,110.0
El Pardo,Fuencarral - El Pardo,40.5163732,-3.775174099999999,12.6054031978183,Tiny home,Entire home/apt,3,,1.0,,90.0,365.0,f,1.0,f,t,36.0,1,1,0,0,7,0,0,0,1,1,1,1,0,0,0,19.3
San Diego,Puente de Vallecas,40.39195,-3.67073,3.9335160842149635,Entire rental unit,Entire home/apt,2,,1.0,1.0,2.0,60.0,f,11.0,t,t,132.0,9,9,0,0,8,1,1,1,1,1,0,0,0,0,0,88.0
Pacífico,Retiro,40.40353090156706,-3.673043315376189,2.986759724102406,Entire rental unit,Entire home/apt,1,,2.0,,12.0,365.0,f,4.0,t,t,113.0,4,4,0,0,2,0,1,0,1,0,0,0,0,0,0,32.25
Argüelles,Moncloa - Aravaca,40.43038352388247,-3.717773835241957,1.916269240491066,Private room in rental unit,Private room,1,,,1.0,20.0,60.0,f,216.0,t,t,19.0,212,1,211,0,7,0,1,1,1,1,1,0,0,0,0,25.0
Goya,Salamanca,40.42790244156132,-3.678322434425354,2.4633565556998733,Private room in home,Private room,1,1.0,,1.0,4.0,365.0,f,1.0,t,t,34.0,1,0,1,0,7,0,1,1,1,1,0,0,0,0,0,59.59
Aguilas,Latina,40.37896,-3.77803,7.58621757609792,Private room in rental unit,Private room,2,1.0,,1.0,1.0,365.0,f,1.0,t,t,22.0,1,0,1,0,4,0,1,0,1,1,0,0,0,0,0,35.0
Campamento,Latina,40.39847,-3.76851,5.86630664331231,Private room in home,Private room,1,,2.0,1.0,1.0,1125.0,f,2.0,t,t,78.0,2,0,2,0,16,0,1,0,0,0,1,0,0,0,0,30.0
Berruguete,Tetuán,40.45938,-3.69986,4.729772330574396,Private room in rental unit,Private room,1,1.0,,1.0,2.0,365.0,f,1.0,f,t,28.0,1,0,1,0,6,0,1,1,1,0,1,0,0,0,0,103.0
Recoletos,Salamanca,40.42366,-3.6851,1.7359870270075886,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,30.0,365.0,f,476.0,t,t,53.0,375,375,0,0,14,1,1,1,1,1,0,0,0,0,0,285.66
Castillejos,Tetuán,40.45926782185122,-3.694067950719072,4.775415896858223,Private room in rental unit,Private room,2,1.0,1.0,1.0,32.0,1125.0,f,55.0,t,t,21.0,14,0,14,0,5,1,1,0,1,1,1,0,0,0,0,39.28
Embajadores,Centro,40.4091,-3.70668,0.9096898187477869,Private room in rental unit,Private room,2,1.0,,1.0,2.0,365.0,f,6.0,t,t,61.0,6,0,6,0,4,0,0,0,1,1,0,0,0,0,0,24.73
Argüelles,Moncloa - Aravaca,40.42563240635345,-3.712912804546367,1.2467500601685733,Private room in home,Private room,5,1.0,1.0,3.0,2.0,365.0,f,4.0,f,t,0.0,4,0,4,0,15,1,1,0,1,1,0,0,0,0,0,245.36
Cortes,Centro,40.41631089314011,-3.699524626135826,0.3528641866010718,Private room in rental unit,Private room,2,0.5,1.0,1.0,1.0,15.0,t,2.0,t,t,10.0,1,0,1,0,11,1,1,0,1,1,0,0,0,0,0,80.0
Moscardó,Usera,40.39099,-3.70736,2.9029265616438678,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,2.0,365.0,f,2.0,t,t,120.0,2,2,0,0,6,1,1,1,1,1,0,1,0,0,0,132.0
Trafalgar,Chamberí,40.42869,-3.69741,1.4080119019446977,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,3.0,1125.0,f,38.0,t,t,49.0,29,29,0,0,24,1,1,1,1,1,0,0,0,1,0,106.0
Justicia,Centro,40.4207183,-3.6968559,0.7095282332943217,Entire rental unit,Entire home/apt,5,3.0,5.0,5.0,3.0,365.0,f,12.0,t,t,18.0,12,12,0,0,28,1,1,0,1,1,0,0,0,1,0,306.67
Cortes,Centro,40.41579,-3.69966,0.358016994113288,Private room in hostel,Private room,2,1.0,1.0,1.0,1.0,1125.0,f,4.0,t,t,56.0,4,0,4,0,14,0,1,1,0,0,0,1,0,0,0,200.0
Universidad,Centro,40.42390124349701,-3.703474849462509,0.77413950734305,Private room in rental unit,Private room,2,1.0,,1.0,1.0,365.0,f,1.0,t,t,0.0,1,0,1,0,6,0,1,0,1,1,1,0,0,0,0,69.0
Justicia,Centro,40.42348,-3.6956,0.9942984492019018,Entire rental unit,Entire home/apt,2,,1.0,1.0,4.0,60.0,t,3.0,t,t,133.0,2,2,0,0,32,0,1,1,1,1,0,1,0,1,1,356.0
Cortes,Centro,40.41165,-3.69429,0.9841708235199397,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2.0,365.0,t,4.0,t,t,150.0,4,1,3,0,8,0,1,0,1,1,0,0,0,0,0,120.67
Palacio,Centro,40.41929,-3.71019,0.6152841068558422,Entire rental unit,Entire home/apt,3,2.0,2.0,4.0,30.0,90.0,f,21.0,t,t,8.0,19,19,0,0,19,1,1,1,1,1,1,1,0,0,0,113.97
Aeropuerto,Barajas,40.45072721668045,-3.580583073198796,11.069628579166286,Private room in rental unit,Private room,1,0.5,1.0,1.0,1.0,365.0,f,4.0,t,t,93.0,4,0,4,0,11,0,0,1,0,0,0,0,0,0,0,68.0
Embajadores,Centro,40.41381020310679,-3.706541471163944,0.4274441317835707,Shared room in hotel,Shared room,8,1.0,,8.0,1.0,365.0,f,10.0,t,t,10.0,10,0,6,4,8,1,1,1,1,0,1,0,0,0,0,42.0
Palacio,Centro,40.41267620000001,-3.712451,0.8860087367989167,Entire rental unit,Entire home/apt,6,2.0,5.0,5.0,15.0,60.0,f,21.0,t,t,35.0,19,18,1,0,4,1,1,0,1,1,0,0,0,0,0,137.0
Justicia,Centro,40.42025,-3.70117,0.4220565537726871,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,1.0,365.0,f,17.0,t,t,132.0,15,15,0,0,48,1,1,0,1,1,1,0,0,1,0,211.5
Canillas,Hortaleza,40.46262,-3.65636,6.464515276553856,Private room in chalet,Private room,2,,,1.0,1.0,1125.0,f,16.0,t,t,72.0,8,2,6,0,9,0,1,0,0,0,0,0,0,1,0,97.0
Opañel,Carabanchel,40.3888308,-3.7268492,3.6934516173887704,Private room in rental unit,Private room,2,2.5,,1.0,1.0,365.0,f,2.0,t,t,29.0,2,0,2,0,10,0,1,0,1,0,0,0,0,0,0,46.0
Canillejas,San Blas - Canillejas,40.4432236,-3.6134959,8.168139784906312,Private room in home,Private room,1,1.0,,1.0,2.0,365.0,t,2.0,t,t,22.0,2,0,2,0,13,0,1,0,1,0,0,0,1,0,0,117.0
Salvador,San Blas - Canillejas,40.44582752593682,-3.630447473370682,6.975985756206488,Entire rental unit,Entire home/apt,4,2.5,2.0,2.0,7.0,60.0,t,2.0,t,t,141.0,2,1,1,0,10,1,1,1,1,1,1,1,1,0,0,279.29
Portazgo,Puente de Vallecas,40.39073312374474,-3.646807351833154,5.623637580286021,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1.0,365.0,f,10.0,t,t,34.0,10,9,1,0,6,1,1,1,0,0,1,0,0,0,0,172.0
Embajadores,Centro,40.41227,-3.70318,0.520554800289589,Entire rental unit,Entire home/apt,9,2.0,4.0,7.0,1.0,1125.0,f,391.0,t,t,64.0,390,390,0,0,25,1,1,1,1,1,0,0,0,1,0,332.5
Justicia,Centro,40.42088,-3.69753,0.6759139977545332,Private room in condo,Private room,2,1.0,1.0,,15.0,1125.0,f,5.0,t,t,84.0,5,3,2,0,8,0,0,0,0,0,0,0,0,0,1,224.67
Sol,Centro,40.4150974,-3.7024616,0.22678448613140226,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,365.0,f,143.0,t,t,75.0,16,16,0,0,11,0,1,1,1,1,0,0,0,0,0,170.2
Fuente del Berro,Salamanca,40.4280149773377,-3.666532751717632,3.3715724406171343,Entire rental unit,Entire home/apt,10,5.0,5.0,5.0,1.0,1125.0,f,391.0,t,t,64.0,390,390,0,0,22,1,1,1,1,1,0,0,0,1,0,477.21
Justicia,Centro,40.42063,-3.69993,0.5151758796107668,Private room in casa particular,Private room,3,2.0,,3.0,3.0,1125.0,f,31.0,t,t,52.0,31,8,23,0,8,0,1,1,1,1,1,0,0,0,0,106.0
Ventas,Ciudad Lineal,40.43084,-3.64699,5.035888005852958,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,3.0,365.0,t,4.0,t,t,7.0,4,4,0,0,7,1,1,1,1,1,0,0,0,0,0,104.67
Puerta del Angel,Latina,40.40708234776802,-3.731719245162096,2.620140523476127,Private room in rental unit,Private room,1,1.0,,1.0,1.0,365.0,f,1.0,t,t,30.0,1,0,1,0,9,0,1,1,1,1,1,1,0,0,0,40.17
Argüelles,Moncloa - Aravaca,40.43047921252638,-3.7175867140801446,1.91475280077395,Private room in rental unit,Private room,1,,,1.0,20.0,60.0,f,216.0,t,t,19.0,212,1,211,0,7,0,1,1,1,1,1,0,0,0,0,29.0
Imperial,Arganzuela,40.41227227624172,-3.720460939363209,1.5180967661225988,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,1125.0,f,78.0,t,t,54.0,73,72,1,0,30,1,1,1,1,1,0,0,0,1,0,193.8
Acacias,Arganzuela,40.4016824,-3.7069266,1.7196497416054641,Private room in guesthouse,Private room,1,0.5,1.0,1.0,1.0,365.0,f,1.0,t,t,27.0,1,0,1,0,5,0,1,0,1,1,0,1,0,0,0,46.0
Argüelles,Moncloa - Aravaca,40.42869213045034,-3.717942919678355,1.7831815085462344,Entire guest suite,Entire home/apt,2,1.0,1.0,2.0,3.0,365.0,t,1.0,t,t,39.0,1,1,0,0,49,1,1,0,1,1,1,1,0,1,0,145.14
Ciudad Jardín,Chamartín,40.44677432911104,-3.6720463571960646,4.259381080431436,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,3.0,90.0,f,3.0,t,t,178.0,1,1,0,0,11,0,1,1,1,1,0,1,0,0,0,119.82
Argüelles,Moncloa - Aravaca,40.43050913493584,-3.719301762356738,2.010201171235991,Private room in rental unit,Private room,1,,,1.0,20.0,60.0,f,216.0,t,t,19.0,212,1,211,0,7,0,1,1,1,1,1,0,0,0,0,26.0
Gaztambide,Chamberí,40.43624,-3.71353,2.3044857604266844,Private room in rental unit,Private room,2,1.0,,1.0,1.0,3.0,f,1.0,t,t,85.0,1,0,1,0,5,0,1,0,1,0,0,0,0,0,0,428.0
Adelfas,Retiro,40.39967,-3.67144,3.3326781231155294,Private room in rental unit,Private room,2,2.0,,2.0,1.0,1125.0,f,1.0,t,t,183.0,1,0,1,0,17,0,1,1,1,1,1,0,0,1,0,571.0
Aluche,Latina,40.39466,-3.74512,4.300111037935115,Entire home,Entire home/apt,2,,1.0,1.0,2.0,999.0,f,2.0,t,t,92.0,1,1,0,0,8,1,1,1,1,1,1,1,0,0,0,98.0
Trafalgar,Chamberí,40.43570010366302,-3.703461012222842,2.086066471349252,Private room in rental unit,Private room,1,,1.0,,15.0,365.0,f,174.0,t,t,25.0,164,0,164,0,14,0,1,0,1,1,1,0,0,0,0,37.33
Rios Rosas,Chamberí,40.44338,-3.69662,2.9989338980357156,Private room in rental unit,Private room,1,1.0,,1.0,1.0,60.0,f,1.0,t,t,158.0,1,0,1,0,21,0,1,0,0,1,0,0,0,1,0,80.0
San Diego,Puente de Vallecas,40.39508,-3.66604,4.003484334282237,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,3.0,365.0,f,50.0,t,t,79.0,40,40,0,0,5,1,1,1,1,1,0,0,0,0,0,65.05
