neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,distance_to_sol_km,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,host_experience_months,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,amenities_count,has_license_info,has_wifi,has_air_conditioning,has_kitchen,has_washer,has_workspace,has_parking,has_pool,has_elevator,has_balcony_or_patio,price_numeric
Universidad,Centro,40.42522879715002,-3.702741124326472,0.9246024115617952,Entire rental unit,Entire home/apt,2,,1.0,2.0,1.0,180.0,f,3.0,t,t,109.0,3,3,0,0,40,1,1,0,1,1,0,1,0,0,0,121.0
Universidad,Centro,40.425565,-3.7018802,0.9701706832109288,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1.0,365.0,f,3.0,t,t,109.0,3,3,0,0,34,1,1,1,1,1,0,1,0,0,0,133.0
Universidad,Centro,40.42337,-3.70794,0.8034680819245106,Room in aparthotel,Private room,2,1.0,1.0,1.0,1.0,99.0,f,16.0,t,t,108.0,15,0,15,0,26,1,1,1,0,0,1,0,0,0,0,105.0
Universidad,Centro,40.4227018,-3.7074549,0.7186212554056678,Room in hotel,Private room,2,1.0,1.0,1.0,1.0,99.0,f,16.0,t,t,108.0,15,0,15,0,4,1,1,0,1,1,0,0,0,0,0,101.0
Universidad,Centro,40.4215,-3.70638,0.5586467337826112,Private room in serviced apartment,Private room,2,1.0,1.0,1.0,1.0,99.0,f,16.0,t,t,108.0,15,0,15,0,26,1,1,1,0,0,1,0,0,0,0,96.0
Universidad,Centro,40.422,-3.70717,0.6382751857714158,Room in aparthotel,Private room,2,1.0,1.0,1.0,1.0,99.0,f,16.0,t,t,108.0,15,0,15,0,26,1,1,1,0,0,1,0,0,0,0,101.0
Universidad,Centro,40.422783,-3.707468,0.7271798490836417,Private room in hostel,Private room,2,,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,28,1,1,1,0,0,0,0,0,1,0,135.0
Universidad,Centro,40.422783,-3.707468,0.7271798490836417,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,27,1,1,1,0,0,0,0,0,1,0,140.0
Universidad,Centro,40.422783,-3.707468,0.7271798490836417,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,27,1,1,1,0,0,0,0,0,1,0,117.0
Universidad,Centro,40.42183,-3.70652,0.5969445199436407,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,26,1,1,1,1,0,0,0,0,1,0,139.0
Universidad,Centro,40.422783,-3.707468,0.7271798490836417,Private room in hostel,Private room,2,,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,28,1,1,1,0,0,0,0,0,1,0,140.0
Universidad,Centro,40.4209708,-3.7033754,0.4486443005611447,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,20,1,1,1,1,0,0,0,0,1,0,118.8
Universidad,Centro,40.42278,-3.70747,0.7269579083153657,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,27,1,1,1,0,0,0,0,0,1,0,166.46
Universidad,Centro,40.422783,-3.707468,0.7271798490836417,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,19,1,1,1,0,0,0,0,0,1,0,209.09
Universidad,Centro,40.42265,-3.7073,0.7076051042120207,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,25,1,1,1,0,0,0,0,0,1,0,213.44
Universidad,Centro,40.422783,-3.707468,0.7271798490836417,Private room in hostel,Private room,2,,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,21,1,1,1,0,0,0,0,0,1,0,151.0
Universidad,Centro,40.42374,-3.70655,0.7960325535117232,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,24,1,1,1,0,0,0,0,0,1,0,147.6
Universidad,Centro,40.422351723,-3.707421895,0.6828190577402118,Private room in hostel,Private room,2,,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,26,1,1,1,0,0,0,0,0,1,0,176.18
Universidad,Centro,40.422783,-3.707468,0.7271798490836417,Private room in hostel,Private room,2,1.0,,1.0,1.0,999.0,f,146.0,t,t,108.0,114,53,60,0,26,1,1,1,0,0,0,0,0,1,0,117.0
